Rank,Name,Price,Market Cap,Volume (24h),Circulating Supply,Change (24h),Change (7d),Change (1h)
1,Bitcoin,5486515.266543697,108189121246440.72,2349472077468.9243,19719096,1.9272511,6.93197726
2,Ethereum,300649.64596789004,36134883799604.7,1082578073968.881,120189344.25575203,1.23686913,5.40809527
3,Tether USDt,86.66246630200251,9782024975795.807,4151333129174.4414,112874989522.07608,0.04853003,-0.04359032
4,BNB,50395.641161404776,7437546707900.07,145847358799.01425,147583134.90008885,0.41433288,4.80920496
5,Solana,12784.63994328478,5914999807629.751,167909016562.10147,462664559.4924748,1.5358588,16.09450412
6,USDC,86.75080418362721,2817128980532.927,427387403196.6496,32473808249.314346,0.00559516,0.00570889
7,XRP,41.35826920976959,2303172843978.1934,71554087304.0001,55688327582,0.45666123,2.23928911
8,Toncoin,670.6554658686964,1649838459529.0496,16093371366.109728,2460038788.160807,1.78511158,5.51255366
9,Dogecoin,10.828925458192762,1569547773716.7646,41124148427.08045,144940306383.70526,0.64914407,8.14599289
10,Cardano,35.06780246220983,1253859839623.1628,22755531561.062107,35755301204.698,4.23684887,9.70482587
11,Avalanche,2556.476305706178,1007595262120.7324,27170312322.344612,394134402.8386773,2.26791772,23.15746691
12,TRON,11.10792855431258,968525717741.5916,23569812910.50071,87192289093.86241,2.57156577,7.50327852
13,Shiba Inu,0.001493325141922545,879973070837.5454,18132882392.144154,589270913703793.6,0.50616194,4.29990416
14,Polkadot,554.3529776244076,797133766364.1703,14760121753.884521,1437953431.368154,3.00012726,14.03416598
15,Chainlink,1257.5066228348248,764689740190.0404,22446076590.06602,608099970.4527867,3.21217841,10.26432514
16,Bitcoin Cash,33680.8470135893,664425331869.1306,17270343829.7437,19727096.875,-1.19114168,11.30879324
17,NEAR Protocol,461.7789723366866,504978546662.2865,17869697386.315826,1093550328,-0.04344376,0.47239907
18,Uniswap,808.8774557736564,485291930117.87054,12276272599.290169,599957294.71,1.25073289,5.30511909
19,Polygon,49.05578250086873,484889071274.4712,16208588179.873766,9884442700.835203,1.82552525,2.8188255
20,Litecoin,6457.0266801668195,482359989583.90875,23485359609.11456,74703112.3575049,-0.6124786,9.0428967
21,UNUS SED LEO,505.53303501961847,468176235576.8142,98006017.65058663,926104137.9,0.32499949,1.21957575
22,Dai,86.74074896864057,463879862195.8949,36710539997.04046,5347888595.7464075,-0.01060119,-0.0116137
23,Pepe,0.0010075373449406264,423860784889.3324,45143788627.90723,420689899999994.8,-0.10472974,6.83610595
24,Kaspa,15.774803718407508,379822925036.4661,11983398360.619766,24077822571.77967,-2.87373672,20.24359366
25,Internet Computer,710.670766063595,330887070366.4489,4010266469.0185447,465598257.5436896,1.91733302,6.07940586
26,Ethereum Classic,2034.1739104833655,300542106226.9131,9559510222.140379,147746515.0241247,-0.70043293,3.98984226
27,Artificial Superintelligence Alliance,116.64206919038837,293938014359.7787,12604144795.445648,2520000000,-4.46067199,-7.64040329
28,Aptos,619.8283133884565,280839100822.915,8365366889.958155,453091759.0512012,1.99337226,6.08491411
29,Monero,14538.81146868646,268193734298.7724,5032293765.8098,18446744.07370955,-0.07562157,6.96212648
30,Render,663.0454431347397,257692866385.77835,11592557655.075771,388650384.4554916,1.51882342,6.2017683
31,Hedera,6.638357493300678,237394930887.00034,3977574778.7158327,35761094687.43969,1.26865439,3.33361584
32,Stellar,7.998196358096053,233285521361.16125,4618174744.429539,29167266083.061527,1.81441959,5.58149659
33,Cosmos,592.1874810823986,231504249337.34186,8008729389.501916,390930671,1.9737108,2.22939211
34,Mantle,68.74203287046583,224569340062.72885,12195979199.52303,3266841707.8368406,0.42695641,7.59557191
35,Stacks,151.28878936651978,222298355415.3654,5782644716.941061,1469364361.670013,3.65745027,14.62808449
36,Arbitrum,68.65005626942016,221848706002.9895,12954907689.180347,3231588116,-0.21749836,0.75831298
37,OKB,3675.8950181414025,220553701088.48413,337133867.2075521,60000000,-1.09856337,4.4057206
38,Filecoin,380.0287646785729,215394905131.18408,9266280539.575933,566785794,-1.47898206,3.0605044
39,Immutable,141.08934268325518,212745175755.1349,5414882656.967195,1507875589.3898141,5.16589585,11.03002553
40,Cronos,7.978369259387933,211997723030.92703,636272865.995954,26571560696,0.93071018,6.17439484
41,Maker,224877.92570190414,209132877673.13712,6563608311.057589,929984.0214213,3.11897801,21.80386579
42,dogwifhat,201.8253734365342,201592431498.38654,42688783509.16926,998845824.317422,8.69200474,39.21094479
43,VeChain,2.33765195693429,189314839989.8181,2970380997.9062576,80985041177,2.10854938,10.0788656
44,Injective,1995.1302155931185,186345162136.39728,7854495345.62059,93400000,-0.49792556,6.74439449
45,First Digital USD,86.71333091464395,179935613306.32947,357189777327.1895,2075062869.9,0.02511135,-0.02933125
46,Sui,71.19315899285884,178852059425.97906,8362724762.866008,2512208503.6838884,1.4829855,-2.66023756
47,The Graph,18.376353758904806,175467192890.47394,5006851599.500515,9548531509.165474,3.08171904,2.00059239
48,Optimism,154.64287271358754,173467323830.4184,14215172652.840546,1121728540,0.83742856,4.83302506
49,Bittensor,24486.70339656119,171645791567.5618,3572435086.3822045,7009755,4.75412315,3.55077622
50,Arweave,2502.54603969296,164298318784.37674,6074873576.904935,65652466,5.0726499,8.82364011
51,Lido DAO,175.43330160931404,156642904110.90445,13069272663.295965,892891501.6360155,3.29644026,-14.00094062
52,Bonk,0.0022509869835733863,153622335877.1288,24830460840.416767,68246656688017.44,14.85643831,26.79655941
53,FLOKI,0.015279410517714719,146124153541.38553,16274894282.389284,9563467999761.6,4.20123996,9.73357464
54,Bitget Token,104.15426043385894,145815964607.40253,4740842095.420205,1400000000,4.44400587,12.73191773
55,Ondo,104.54360098382593,145290498017.2281,15020545334.66191,1389759838.4783604,3.08653713,3.3667033
56,Brett (Based),14.439390678862395,143097775027.28586,4195798810.366328,9910236395,10.89474725,26.16917901
57,Fantom,50.82382357943726,142491442261.96814,11496559381.420177,2803634835.5265927,2.38437143,-0.89551595
